text,prompt,option1,option2,answer,score1,score2,pred,correct,difference
"Foreign films must include English subtitles, and each country can submit only one film for consideration in the International Feature Film category per year.","Foreign films must include English subtitles, and each country can",submits,submit,submit,-23.16753387451172,-11.977425575256348,submit,True,11.190108299255371
"Butane is the most common alkane that is put under the process of isomerization, as it makes many branched alkanes with high octane numbers.","Butane is the most common alkane that is put under the process of isomerization, as it",makes,make,makes,-8.940186500549316,-8.729714393615723,make,,-0.21047210693359375
"Patron of sailors Apollo functions as the patron and protector of sailors, one of the duties he shares with Poseidon.","Patron of sailors Apollo functions as the patron and protector of sailors, one of the duties he",share,shares,shares,-9.848525047302246,-18.907363891601562,share,,-9.058838844299316
"Acknowledging Aristotle as her greatest influence, Rand remarked that in the history of philosophy she could only recommend ""three A's"" Aristotle, Aquinas, and Ayn Rand.","Acknowledging Aristotle as her greatest influence, Rand remarked that in the history of philosophy she could only",recommends,recommend,recommend,-21.84522247314453,-21.402507781982422,recommend,True,0.4427146911621094
"Under their higher valences, radionuclides of elements such as selenium, technetium, uranium, neptunium and plutonium have a higher solubility and are also often present in water as non-retarded anions.","Under their higher valences, radionuclides of elements such as selenium, technetium, uranium, neptunium and plutonium",has,have,have,-9.180431365966797,-9.4762601852417,has,,-0.29582881927490234
"Johnston glanced down at his leg wound, then faced Harris and replied in a weak voice his last words: ""Yes... and I fear seriously.""","Johnston glanced down at his leg wound, then faced Harris and replied in a weak voice his last words: ""Yes... and I",fear,feares,fear,-10.883906364440918,-21.695661544799805,fear,True,10.811755180358887
"John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert says, that Anciently, it was usual for Men to sell and Castrate their Children.","John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert",says,say,says,-10.933971405029297,-10.798306465148926,say,,-0.1356649398803711
"John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert says, that Anciently, it was usual for Men to sell and Castrate their Children.","John Locke's First Treatise of Government John Locke commented: ""Be it then as Sir Robert says, that Anciently, it was usual for Men to",sells,sell,sell,-19.984867095947266,-10.046612739562988,sell,True,9.938254356384277
"Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can develop from sensation, and for the intellectual anxiety that comes with the impression because it is formed at a particular time and processing specific contents.",Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can,develop,develops,develop,-20.40618896484375,-30.457297325134277,develop,True,10.051108360290527
"Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can develop from sensation, and for the intellectual anxiety that comes with the impression because it is formed at a particular time and processing specific contents.","Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can develop from sensation, and for the intellectual anxiety that",come,comes,comes,-10.116052627563477,-9.983343124389648,comes,True,0.13270950317382812
